"Hull","Name","Name (Hull)","Ship Alt Title","Ship Type","Class","UIC","Status","Fleet","Date Status Last Changed","Homeport","Maintenance Category","Berth","Force","Builder","Award Date","Commission Date","Keel Date","Inactivation Date","Launch Date","Decommission Date","Delivery Date","InService Date","Out Service Date","Stricken Date","Overall Length","Waterline Length","Extreme Beam","Waterline Beam","Max Navigational Draft","Draft Limit","Light Displacement","Full Displacement","Dead Weight","Hull Material","No. of Propellers","No. of Waterjets","Propulsion Type","Accommodations Officers","Accommodations Enlisted","Custodian","Planning Yard","Nuclear Planning Yard","Ships Program Manager","Comments","Last Updated"
"LCC 11","ELDORADO","ELDORADO (LCC 11)","(ex - AGC 11)","COMMAND SHIP","LCC 7","05333","Disposed of, by Navy Sale","","09/01/1973","","","","","","","08/25/1944","","","","","","","","11/16/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/04/2002"
"IX 501","ELK RIVER","ELK RIVER (IX 501)","(ex - LSM 501, LSMR 501)","UNCLASSIFIED MISCELLANEOUS","IX 501","75501","Disposed of in support of Fleet training exercise","","02/24/2001","","","","","Brown Shipbuilding Co.","08/30/1944","05/27/1945","03/24/1945","","04/21/1945","","05/24/1945","","","08/13/1999","206 ft","205 ft","35 ft","35 ft","10 ft","8 ft","850 tons","1280 tons","430 tons","Steel hull, steel superstructure.","2","","Diesel Engines","7","107","","","","","","09/27/2017"
"AOG 7","ELKHORN","ELKHORN (AOG 7)","","GASOLINE TANKER","AOG 1","04907","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","05/01/1976","","","","","CARGILL INC","","02/12/1944","","","","","","","","04/15/1976","","","","","","","","","","","","","","","","TAIWAN","","","","","03/04/2002"
"DD 967","ELLIOT","ELLIOT (DD 967)","","DESTROYER","DD 963","20587","Disposed of in support of Fleet training exercise","","07/23/2005","","","","","Ingalls Shipbuilding Corp.","01/01/1971","01/22/1977","10/15/1973","","12/19/1974","12/02/2003","12/01/1976","","","04/06/2004","563 ft","529 ft","55 ft","55 ft","32 ft","23 ft","7028 tons","9435 tons","2407 tons","Steel hull, aluminum superstructure.","2","","Gas Turbines","25","273","US NAVY","","","","","10/07/2005"
"FF 1082","ELMER MONTGOMERY","ELMER MONTGOMERY (FF 1082)","(ex - DE 1082)","FRIGATE","FF 1052","20053","Disposed of through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment","","12/13/1993","","","","","Avondale Industries","08/25/1966","10/30/1971","01/23/1970","","11/21/1970","06/30/1993","10/14/1971","","","06/30/1993","438 ft","415 ft","47 ft","47 ft","25 ft","17 ft","3222 tons","4185 tons","963 tons","Steel hull, aluminum superstructure.","1","","Steam Turbines","22","290","TURKEY","","","","","01/23/2006"
"FFG 55","ELROD","ELROD (FFG 55)","","GUIDED MISSILE FRIGATE","FFG 7","21236","Stricken, Final Disposition Pending","","01/30/2015","","X","NAVSEA Inactive Ships On-site Maintenance Office, Philadelphia, PA","","Bath Iron Works Corp.","05/22/1981","05/18/1985","11/21/1983","","05/12/1984","01/30/2015","05/10/1985","","","01/30/2015","453 ft","408 ft","47 ft","47 ft","26 ft","17 ft","3121 tons","4100 tons","979 tons","Steel hull, aluminum superstructure.","1","","Gas Turbines","19","200","NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, PHILADELPHIA, PA","","","","","12/12/2017"
"AGOR 8","ELTANIN","ELTANIN (AGOR 8)","(ex - AK 270)","OCEANOGRAPHIC RESEARCH SHIP","AGOR 8","01933","Disposed of by Navy title transfer to the Maritime Administration","","07/02/1990","","","","","AVONDALE MARINE WAYS INC","","","","","01/16/1957","","10/01/1957","","","04/19/1988","","","","","","","","","","","","","Diesel Electric","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","12/28/2001"
"MSO 434","EMBATTLE","EMBATTLE (MSO 434)","(ex - AM 434)","MINESWEEPER,OCEAN","MSO 422","07964","Disposed of, by Navy Sale","","11/01/1976","","","","","","","11/16/1954","","","","","","","","05/15/1976","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/04/2002"
"AS 39","EMORY S LAND","USS EMORY S LAND (AS 39)","","SUBMARINE TENDER","AS 39","20635","Active, in commission","U.S. PACIFIC FLEET","07/07/1979","NAVAL BASE, GUAM","","","Support Force","Lockheed Shipbuilding & Construction Co.","11/20/1974","07/07/1979","03/02/1976","","05/04/1977","","03/02/1979","","","","644 ft","620 ft","85 ft","85 ft","29 ft","29 ft","13911 tons","22978 tons","9067 tons","Steel hull, steel superstructure.","1","","Steam Turbine","83","1270","MILITARY SEALIFT COMMAND","Military Sealift Command","","COMSUBPAC/MSC","","03/04/2019"
"AP 1001","EMPIRE STATE","EMPIRE STATE (AP 1001)","(ex - OREGON (MA 95), MORMACTIDE)","TRANSPORT","AP 1000","21984","Disposed of by Navy title transfer to the Maritime Administration","","09/01/2004","","","","","Newport News Shipbuilding","02/29/1960","","03/01/1961","","09/16/1961","","04/19/1962","","","","565 ft","","76 ft","","32 ft","","11615 tons","17240 tons","5625 tons","Steel hull, steel superstructure.","1","","Steam Turbines","","","","","","","","06/27/2018"
"AFDL 1","ENDEAVOR","ENDEAVOR (AFDL 1)","(ex - AFD 1)","SMALL AUXILIARY FLOATING DRY DOCK (N-S-P)","AFDL 1","14801","Disposed of through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment","","06/10/1997","","","","","Chicago Bridge & Iron Co.","","","","","","","09/01/1943","","","","200 ft","","64 ft","","4 ft","","800 tons","","","Steel hull, steel superstructure.","","","","","18","DOMINICAN REPUBLIC","","","","","08/07/2000"
"ARDM 3","ENDURANCE","ENDURANCE (ARDM 3)","(ex - ARD 18)","MEDIUM AUXILIARY REPAIR DRY DOCK (N-S-P)","ARDM 1","05368","Disposed of by transferring to the Local Redevelopment Authority (LRA)","","04/01/1996","","","","","Pacific Bridge Co.","","","","","","","02/01/1944","","","07/31/1995","513 ft","","81 ft","","","","5200 tons","","","Steel hull, steel superstructure.","","","","5","151","","","","","","05/11/2005"
"MSO 435","ENDURANCE","ENDURANCE (MSO 435)","(ex - AM 435)","MINESWEEPER,OCEAN","MSO 422","07965","Disposed of, by Navy Sale","","12/01/1973","","","","","","","05/19/1954","","","","","","","","07/01/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/04/2002"
"ARL 9","ENDYMION","ENDYMION (ARL 9)","(ex - LST 513)","REPAIR SHIP, SMALL","ARL 1","50513","Disposed of, by Navy Sale","","09/01/1973","","","","","","","05/09/1944","","","","11/30/1946","","","","06/01/1972","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/04/2002"
"MSO 436","ENERGY","ENERGY (MSO 436)","(ex - AM 436)","MINESWEEPER,OCEAN","MSO 422","07966","Disposed of, by Navy Sale","","06/01/1977","","","","","","","07/16/1954","","","","","","","","07/01/1977","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","09/30/2004"
"MSO 433","ENGAGE","ENGAGE (MSO 433)","(ex - ELUSIVE (AM 433))","MINESWEEPER,OCEAN","MSO 422","07963","Disposed of by Dismantling (Scrapping/Recycling)","","05/17/2002","","","","","COLBERG BT WKS/STOCKTON","","06/29/1954","11/07/1951","","06/18/1953","12/30/1991","","","","04/20/1992","173 ft","","","","","","800 tons","","","Wood hull, (except engines and equipment).","2","","Diesel","","","","","","","","12/12/2017"
"CG 22","ENGLAND","ENGLAND (CG 22)","(ex - DLG 22)","GUIDED MISSILE CRUISER","CG 16","52693","Disposed of by Dismantling (Scrapping/Recycling)","","10/20/2004","","","","","Todd Shipyards Corp., Los Angeles Div.","","12/07/1963","10/04/1960","","03/06/1962","01/21/1994","06/16/1971","","","01/21/1994","533 ft","510 ft","55 ft","54 ft","26 ft","20 ft","4650 tons","8220 tons","3570 tons","Steel hull, aluminum superstructure.","2","","Steam Turbine","32","393","","","","","","12/12/2017"
"DE 635","ENGLAND","ENGLAND (DE 635)","","ESCORT SHIP","DE 51","","Disposed of by Dismantling (Scrapping/Recycling)","","11/26/1946","","","","","Bethlehem Steel Co., Shipbuilding Div.","08/07/1942","12/10/1943","04/04/1943","","09/26/1943","10/15/1945","12/10/1943","","","","306 ft","","37 ft","","9 ft","","","","","Steel hull, steel superstructure.","2","","","","","","","","","","12/12/2017"
"MSO 437","ENHANCE","ENHANCE (MSO 437)","(ex - AM 437)","MINESWEEPER,OCEAN","MSO 422","07967","Disposed of by Dismantling (Scrapping/Recycling)","","08/01/2000","","","","","","","04/16/1955","","","10/11/1952","12/13/1991","","","","02/21/1992","173 ft","","","","","","829 tons","","","Wood hull, (except engines and equipment).","2","","Diesel","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/12/2017"
"APD 66","ENRIGHT","ENRIGHT (APD 66)","(ex - DE 216)","HIGH SPEED TRANSPORT","APD 37","02916","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","08/01/1978","","","","","Naval Shipyard Philadelphia","06/08/1942","09/21/1943","02/22/1943","","05/29/1943","06/21/1946","09/30/1943","","","03/31/1978","306 ft","300 ft","37 ft","36 ft","9 ft","","","","","Steel hull, steel superstructure.","2","","","","","ECUADOR","","","","","02/15/2002"
"SS 340","ENTEMEDOR","ENTEMEDOR (SS 340)","","SUBMARINE","SS 340","05440","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","08/01/1973","","","","","","","04/06/1945","","","","","","","","08/01/1973","","","","","","","","","","","","","","","","TURKEY","","","","","03/04/2002"
"CVN 65","ENTERPRISE","ENTERPRISE (CVN 65)","(ex - CVAN 65)","MULTI-PURPOSE AIRCRAFT CARRIER (NUCLEAR-POWERED)","CVN 65","03365","Stricken, Final Disposition Pending","","02/03/2017","","Z","","","Newport News Shipbuilding","11/15/1957","11/25/1961","02/04/1958","12/01/2012","09/24/1960","02/03/2017","10/29/1961","","","02/03/2017","1088 ft","1040 ft","248 ft","133 ft","39 ft","39 ft","75704 tons","93284 tons","17580 tons","Steel hull, steel superstructure.","4","","Steam Turbines (Nuclear)","571","5244","US NAVY","","","","Eligible for Inclusion in the National Register of Historic Places (NRHP)","12/12/2017"
"CVN 80","ENTERPRISE","ENTERPRISE (CVN 80)","","MULTI-PURPOSE AIRCRAFT CARRIER (NUCLEAR-POWERED)","CVN 78","","Under construction","","08/24/2017","","","","","HUNTINGTON INGALLS INDUSTRIES NEWPORT NEWS SHIPBUILDING","01/31/2019","","08/27/2022","","","","","","","","","","","","","","","","","","","","","","","","Huntington Ingalls Industries - Newport News Shipbuilding","","PMS 379","","08/31/2022"
"DD 719","EPPERSON","EPPERSON (DD 719)","(ex - DDE 719)","DESTROYER","DD 710","04319","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","04/01/1977","","","","","","","03/19/1949","","","","","","","","01/30/1976","","","","","","","","","","","","","","","","PAKISTAN","","","","","03/04/2002"
"MCS 7","EPPING FOREST","EPPING FOREST (MCS 7)","(ex - APM 4, LSD 4)","MINE COUNTERMEASURE SUPPORT SHIP","MCS 7","03104","Disposed of, by Navy Sale","","10/30/1969","","","","","Moore Dry Dock Co., Inc.","12/02/1941","10/11/1943","11/23/1942","","04/02/1943","","10/11/1943","","","11/01/1968","458 ft","454 ft","72 ft","72 ft","18 ft","","4960 tons","8700 tons","3740 tons","Steel hull, steel superstructure.","2","","Skinner Unaflow Reciprocating Engines","44","433","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","05/11/2000"
"ACS 8","EQUALITY STATE","EQUALITY STATE (ACS 8)","(ex - WASHINGTON MAIL (MA 86), PRESIDENT ROOSEVELT, SANTA ROSA, AMERICAN BUILDER)","CRANE SHIP","ACS 7","21841","Disposed of by Navy title transfer to the Maritime Administration","","05/24/1989","","","","","Todd Shipyards Corp., Los Angeles Div.","08/05/1959","","07/06/1960","","05/11/1961","","01/02/1962","","","","668 ft","635 ft","76 ft","76 ft","33 ft","33 ft","16400 tons","31500 tons","15100 tons","Steel hull, steel superstructure.","1","","Steam Turbines","","","","","","","","06/27/2018"
"DD 631","ERBEN","ERBEN (DD 631)","","DESTROYER","DD 448","04031","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","01/01/1977","","","","","","","05/28/1943","","","","06/27/1958","","","","06/02/1975","","","","","","","","","","","","","","","","KOREA","","","","","03/04/2002"
"ARS 6","ESCAPE","ESCAPE (ARS 6)","","SALVAGE SHIP","ARS 6","02506","Disposed of by Navy title transfer to the Maritime Administration","","07/28/2001","","","","","Basalt Rock Co., Inc.","09/01/1941","11/20/1943","08/24/1942","","11/22/1942","09/01/1978","11/20/1943","","","06/29/1995","214 ft","207 ft","41 ft","41 ft","16 ft","15 ft","1712 tons","1975 tons","263 tons","Steel hull, steel superstructure.","2","","Steam Turbine","8","84","","","","","ESCAPE (ARS 6) DEPARTED JAMES RIVER RESERVE FLEET 15 SEP 09 TO BE DISMANTLED BY BAY BRIDGE ENT., CHESAPEAKE, VA.","09/17/2009"
"CVS 9","ESSEX","ESSEX (CVS 9)","(ex - CVA 9)","ASW SUPPORT AIRCRAFT CARRIER","CVS 10","03310","Disposed of, by Navy Sale","","06/01/1975","","","","","Newport News Shipbuilding","","12/31/1942","","","07/31/1942","","","","","06/01/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/26/2002"
"LHD 2","ESSEX","USS ESSEX (LHD 2)","","AMPHIBIOUS ASSAULT SHIP (MULTI-PURPOSE)","LHD 1","21533","Active, in commission","U.S. PACIFIC FLEET","10/17/1992","SAN DIEGO, CA","","","Battle Force","Ingalls Shipbuilding Corp.","09/10/1986","10/17/1992","03/20/1989","","01/04/1991","","07/10/1992","","","","847 ft","778 ft","118 ft","106 ft","28 ft","28 ft","27803 tons","41684 tons","13881 tons","Steel hull, aluminum superstructure.","2","","Geared Steam Turbines","102","1102","US NAVY","Huntington Ingalls Industries - Ingalls Shipbuilding","","PMS 470","","06/14/2021"
"MSO 438","ESTEEM","ESTEEM (MSO 438)","(ex - AM 438)","MINESWEEPER,OCEAN","MSO 422","07968","Disposed of by Dismantling (Scrapping/Recycling)","","08/01/2000","","","","","MARTINOLICH SB CO","08/07/1951","09/10/1955","09/01/1952","","12/20/1952","09/30/1991","","","","09/30/1991","173 ft","","","","","","720 tons","","","Wood hull, (except engines and equipment).","2","","Diesel","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/12/2017"
"LCC 12","ESTES","ESTES (LCC 12)","(ex - AGC 12)","COMMAND SHIP","LCC 7","05334","Disposed of by MARAD sale","","12/01/1977","","","","","","","10/09/1944","","","","","","","","07/30/1976","","","","","","","","","","","","","","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","03/04/2002"
"FFG 15","ESTOCIN","ESTOCIN (FFG 15)","","GUIDED MISSILE FRIGATE","FFG 7","20968","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","04/03/2003","","","","","Bath Iron Works Corp.","02/27/1976","01/10/1981","04/02/1979","","11/03/1979","04/03/2003","11/03/1980","","","04/03/2003","445 ft","408 ft","47 ft","47 ft","25 ft","17 ft","3106 tons","3989 tons","883 tons","Steel hull, aluminum superstructure.","1","","Gas Turbines","17","195","","","","","FFG-15 WAS TRANSFERRED TO TURKEY 4/3/03. NEW NAME IS TCG GOSKU (F-497).","06/27/2018"
"YTM 543","ETAWINA","ETAWINA (YTM 543)","(ex - YTB 543)","MEDIUM HARBOR TUG (S-P)","YTM 518","12743","Disposed of, by Navy Sale","","07/01/1981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/30/2001"
"SSN 608","ETHAN ALLEN","ETHAN ALLEN (SSN 608)","(ex - SSBN 608)","SUBMARINE (NUCLEAR-POWERED)","SSN 608","05116","Disposed of by submarine recycling","","07/30/1999","","","","","General Dynamics Electric Boat","07/17/1958","08/08/1961","09/14/1959","","11/22/1960","03/31/1983","05/15/1961","","","04/02/1983","","","","","","","","","","","","","Steam Turbine (Nuclear)","","","PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)","","","","","12/05/2019"
"YTB 800","EUFAULA","EUFAULA (YTB 800)","","LARGE HARBOR TUG (S-P)","YTB 760","12611","Disposed of by Navy title transfer to the Maritime Administration","","12/07/1992","","","","","Southern Shipbuilding Corp.","05/02/1968","","08/05/1968","","02/22/1969","","07/03/1969","","","","106 ft","101 ft","","","","","","","","","1","","Diesel Engines","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","10/09/1999"
"DD 711","EUGENE A GREENE","EUGENE A GREENE (DD 711)","(ex - DDR 711)","DESTROYER","DD 710","04311","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","08/31/1972","","","","","","","06/08/1945","","","","","","","","06/02/1975","","","","","","","","","","","","","","","","SPAIN","","","","","02/16/2011"
"PCE 846","EUNICE","EUNICE (PCE 846)","(ex - PCER 846)","PATROL ESCORT","PCE 842","06346","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","08/01/1978","","","","","","","","","","","","","","","03/31/1978","","","","","","","","","","","","","","","","ECUADOR","","","","","12/28/2001"
"DE 1023","EVANS","EVANS (DE 1023)","","ESCORT SHIP","DE 1021","54023","Disposed of, by Navy Sale","","09/01/1974","","","","","","","06/14/1957","","","","","","","","12/03/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/04/2002"
"DD 830","EVERETT F LARSON","EVERETT F LARSON (DD 830)","(ex - DDR 830)","DESTROYER","DD 805","52130","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","01/01/1977","","","","","","","04/06/1945","","","","","","","","06/02/1975","","","","","","","","","","","","","","","","KOREA","","","","","02/16/2011"
"AD 24","EVERGLADES","EVERGLADES (AD 24)","","DESTROYER TENDER","AD 23","04642","Disposed of by Navy title transfer to the Maritime Administration","","07/02/1990","","","","","TODD SB CORP","02/17/1945","05/25/1951","06/26/1944","","01/28/1945","","05/06/1947","","","05/24/1989","","","","","","","","","","","","","Steam Turbine","","","MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET)","","","","","02/18/1999"
"DD 789","EVERSOLE","EVERSOLE (DD 789)","","DESTROYER","DD 710","03889","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","07/01/1973","","","","","","","05/10/1946","","","","","","","","07/11/1973","","","","","","","","","","","","","","","","TURKEY","","","","","03/04/2002"
"YD","EX-35OT GERCRANE","EX-350T GER CRANE (YD 171)","","FLOATING CRANE (N-S-P)","","60258","Acquired for Navy","","06/01/1947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","01/01/1990"
"YD 187","EX-ARMY CRANE","EX-ARMY CRANE (YD 187)","","FLOATING CRANE (N-S-P)","","","Disposed of, by Navy Sale","","05/01/1975","","","","","","","","","","","","","","","","121 ft","120 ft","60 ft","60 ft","6 ft","6 ft","60 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"YD 188","EX-ARMY CRANE","EX-ARMY CRANE (YD 188)","","FLOATING CRANE (N-S-P)","","20379","Acquired for Navy","","03/01/1952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","01/01/1990"
"YD 190","EX-ARMY CRANE","EX-ARMY CRANE (YD 190)","","FLOATING CRANE (N-S-P)","","","Disposed of, by Navy Sale","","05/01/1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"YD 192","EX-ARMY CRANE","EX-ARMY CRANE (YD 192)","","FLOATING CRANE (N-S-P)","","60258","Acquired for Navy","","03/01/1952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","01/01/1990"
"YD 193","EX-ARMY CRANE","EX-ARMY CRANE (YD 193)","","FLOATING CRANE (N-S-P)","YD 113","22552","Sold through the General Services Administration (GSA) for reuse","","05/17/2000","","","","","Todd Shipyards Corp., Seattle Div","","","10/01/1953","","01/01/1954","","08/01/1954","","","06/25/1999","140 ft","140 ft","70 ft","70 ft","13 ft","6 ft","1407 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"YD","EX-ARMY FLTG DERCK","EX-ARMY FLTG DERCK (YD 172)","","FLOATING CRANE (N-S-P)","","00221","Acquired for Navy","","06/01/1947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US NAVY","","","","","02/16/2011"
"MSO 439","EXCEL","EXCEL (MSO 439)","(ex - AM 439)","MINESWEEPER,OCEAN","MSO 422","07969","Disposed of by Dismantling (Scrapping/Recycling)","","04/01/2000","","","","","","","02/24/1955","02/09/1953","","09/25/1953","09/30/1992","","","","03/28/1994","173 ft","","","","","","749 tons","","","Wood hull, (except engines and equipment).","2","","Diesel","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","12/12/2017"
"YC 1086","EX-EQUIP","EX-EQUIP (YC 1086)","","OPEN LIGHTER (N-S-P)","YC 255","22339","Disposed of by transferring to the Local Redevelopment Authority (LRA)","","12/20/1999","","","","","Soule Steel Co.","07/01/1944","","05/04/1945","","06/01/1945","","06/01/1945","","","08/21/1997","110 ft","110 ft","35 ft","34 ft","8 ft","6 ft","120 tons","590 tons","470 tons","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"YC 1087","EX-EQUIP","EX-EQUIP (YC 1087)","","OPEN LIGHTER (N-S-P)","YC 255","","Disposed of, by Navy Sale","","03/08/1988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","02/16/2011"
"YC 1394","EX-EQUIP","EX-EQUIP (YC 1394)","(ex - YFN 715, YFNX 17)","OPEN LIGHTER (N-S-P)","YC 1394","22463","Disposed of by transferring to the Local Redevelopment Authority (LRA)","","12/15/1999","","","","","","","","07/28/1944","","","","","","","07/26/1994","110 ft","","","","","","120 tons","","","Steel hull, steel superstructure.","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","06/23/2005"
"MSO 440","EXPLOIT","EXPLOIT (MSO 440)","(ex - AM 440)","MINESWEEPER,OCEAN","MSO 422","07970","Disposed of by Dismantling (Scrapping/Recycling)","","05/17/2002","","","","","","","03/31/1954","12/28/1951","","04/10/1953","12/16/1993","","","","03/28/1994","173 ft","","","","","","737 tons","","","Wood hull, (except engines and equipment).","2","","Diesel","","","","","","","","12/12/2017"
"MSO 441","EXULTANT","EXULTANT (MSO 441)","(ex - AM 441)","MINESWEEPER,OCEAN","MSO 422","07971","Disposed of by Dismantling (Scrapping/Recycling)","","05/17/2002","","","","","Higgins Inc.","","06/22/1954","05/22/1952","","06/06/1953","06/30/1993","","","","03/09/1994","173 ft","","","","","","815 tons","","","Wood hull, (except engines and equipment).","2","","Diesel","","","","","","","","12/12/2017"
"ARVA 5","FABIUS","FABIUS (ARVA 5)","(ex - LST 1093)","AIRCRAFT REPAIR SHIP, AIRCRAFT","ARVA 5","58093","Disposed of, by Navy Sale","","01/01/1974","","","","","","","06/07/1945","","","","04/04/1952","","","","06/01/1973","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/04/2002"
"FFG 22","FAHRION","FAHRION (FFG 22)","","GUIDED MISSILE FRIGATE","FFG 7","20975","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","03/15/1998","","","","","Todd Shipyards Corp., Seattle Div","02/28/1977","01/16/1982","12/01/1978","","08/24/1979","03/31/1998","12/29/1981","","","03/31/1998","445 ft","408 ft","47 ft","47 ft","25 ft","16 ft","3046 tons","3928 tons","882 tons","Steel hull, aluminum superstructure.","1","","Gas Turbines","17","195","EGYPT","","","","","06/15/2000"
"LST 1193","FAIRFAX COUNTY","FAIRFAX COUNTY (LST 1193)","","TANK LANDING SHIP","LST 1179","20032","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","09/27/1994","","","","","General Dynamics, National Steel & Shipbuilding Corp.","07/15/1966","10/16/1971","03/28/1970","","12/19/1970","08/17/1994","","","","08/17/1994","","","","","","","5145 tons","8744 tons","3599 tons","","","","Diesel Engines","","","AUSTRALIA","","","","","08/21/2019"
"MHC 59","FALCON","FALCON (MHC 59)","","MINEHUNTER, COASTAL","MHC 51","22151","Disposed of, by Navy Sale","","05/23/2010","","","","","Intermarine U. S. A.","04/22/1992","02/08/1997","07/01/1993","","06/03/1995","06/30/2006","10/14/1996","","","06/30/2006","188 ft","174 ft","38 ft","36 ft","11 ft","11 ft","821 tons","908 tons","87 tons","Composite hull.","2","","Diesel Engines","5","46","TAIWAN","","","","","06/06/2011"
"MSC 190","FALCON","FALCON (MSC 190)","(ex - AMS 190)","MINESWEEPER COASTAL, NONMAGNETIC","MSC 190","16453","Disposed of, by Navy Sale","","09/01/1976","","","","","","","11/24/1944","","","","","","","","05/01/1976","","","","","","","","","","","","","","","","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","03/04/2002"
"DER 324","FALGOUT","FALGOUT (DER 324)","(ex - DE 324)","RADAR PICKET ESCORT SHIP","DER 386","03024","Disposed of in support of Fleet training exercise","","01/01/1977","","","","","","","11/15/1943","","","","","","","","06/30/1975","","","","","","","","","","","","","","","","US NAVY","","","","","03/04/2002"
"FF 1076","FANNING","FANNING (FF 1076)","(ex - DE 1076)","FRIGATE","FF 1052","54071","Disposed of through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned","","05/18/1999","","","","","Todd Shipyards Corp., Los Angeles Div.","07/22/1964","07/23/1971","12/07/1968","","01/24/1970","07/31/1993","07/16/1971","","","01/11/1995","438 ft","415 ft","47 ft","47 ft","25 ft","17 ft","3202 tons","4183 tons","981 tons","Steel hull, aluminum superstructure.","1","","Steam Turbines","20","261","TURKEY","","","","","10/23/2000"
"CVHE 70","FANSHAW BAY","FANSHAW BAY (CVHE 70)","(ex - CVE 70)","ESCORT HELICOPTER AIRCRAFT CARRIER","CVE 55","07400","Disposed of, by Navy Sale","","09/26/1959","","","","","Kaiser Co., Inc","06/18/1942","12/09/1943","05/18/1943","","11/01/1943","08/14/1946","12/09/1943","","","03/01/1959","512 ft","490 ft","108 ft","65 ft","23 ft","","7800 tons","10400 tons","2600 tons","Steel hull, steel superstructure.","2","","Steam Turbines","109","757","SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES","","","","","08/25/2000"
